Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
10/30/2020,Chenango,6,419,324,37114
10/31/2020,Chenango,6,425,317,37431
11/01/2020,Chenango,3,428,253,37684
11/02/2020,Chenango,2,430,207,37891
11/03/2020,Chenango,2,432,151,38042
11/04/2020,Chenango,11,443,333,38375
11/05/2020,Chenango,6,449,383,38758
11/06/2020,Chenango,6,455,401,39159
11/07/2020,Chenango,5,460,205,39364
11/08/2020,Chenango,8,468,159,39523
11/09/2020,Chenango,4,472,245,39768
11/10/2020,Chenango,5,477,316,40084
11/11/2020,Chenango,3,480,287,40371
11/12/2020,Chenango,9,489,327,40698
11/13/2020,Chenango,6,495,302,41000
11/14/2020,Chenango,6,501,145,41145
11/15/2020,Chenango,5,506,167,41312
11/16/2020,Chenango,6,512,181,41493
11/17/2020,Chenango,6,518,232,41725
11/18/2020,Chenango,13,531,344,42069
11/19/2020,Chenango,11,542,187,42256
11/20/2020,Chenango,9,551,344,42600
11/21/2020,Chenango,12,563,268,42868
11/22/2020,Chenango,15,578,360,43228
11/23/2020,Chenango,5,583,205,43433
11/24/2020,Chenango,19,602,353,43786
11/25/2020,Chenango,3,605,273,44059
11/26/2020,Chenango,18,623,406,44465
11/27/2020,Chenango,6,629,212,44677
11/28/2020,Chenango,10,639,314,44991
11/29/2020,Chenango,4,643,276,45267
11/30/2020,Chenango,6,649,203,45470
12/01/2020,Chenango,3,652,306,45776
12/02/2020,Chenango,13,665,409,46185
12/03/2020,Chenango,17,682,335,46520
12/04/2020,Chenango,28,710,577,47097
12/05/2020,Chenango,14,724,487,47584
12/06/2020,Chenango,15,739,287,47871
12/07/2020,Chenango,15,754,188,48059
12/08/2020,Chenango,13,767,307,48366
12/09/2020,Chenango,14,781,471,48837
12/10/2020,Chenango,34,815,339,49176
12/11/2020,Chenango,20,835,588,49764
12/12/2020,Chenango,33,868,410,50174
12/13/2020,Chenango,12,880,356,50530
12/14/2020,Chenango,12,892,150,50680
12/15/2020,Chenango,25,917,253,50933
12/16/2020,Chenango,11,928,352,51285
12/17/2020,Chenango,17,945,448,51733
12/18/2020,Chenango,17,962,206,51939
12/19/2020,Chenango,10,972,298,52237
12/20/2020,Chenango,16,988,212,52449
12/21/2020,Chenango,8,996,176,52625
12/22/2020,Chenango,24,1020,316,52941
12/23/2020,Chenango,16,1036,473,53414
12/24/2020,Chenango,38,1074,316,53730
12/25/2020,Chenango,28,1102,450,54180
12/26/2020,Chenango,6,1108,228,54408
12/27/2020,Chenango,21,1129,202,54610
12/28/2020,Chenango,31,1160,271,54881
12/29/2020,Chenango,19,1179,170,55051
12/30/2020,Chenango,35,1214,536,55587
12/31/2020,Chenango,36,1250,411,55998
01/01/2021,Chenango,25,1275,278,56276
01/02/2021,Chenango,21,1296,370,56646
01/03/2021,Chenango,30,1326,501,57147
01/04/2021,Chenango,11,1337,109,57256
01/05/2021,Chenango,20,1357,295,57551
01/06/2021,Chenango,36,1393,493,58044
01/07/2021,Chenango,37,1430,436,58480
01/08/2021,Chenango,41,1471,592,59072
01/09/2021,Chenango,31,1502,422,59494
01/10/2021,Chenango,27,1529,326,59820
01/11/2021,Chenango,29,1558,329,60149
01/12/2021,Chenango,23,1581,424,60573
01/13/2021,Chenango,31,1612,456,61029
01/14/2021,Chenango,42,1654,760,61789
01/15/2021,Chenango,26,1680,628,62417
01/16/2021,Chenango,24,1704,473,62890
01/17/2021,Chenango,46,1750,459,63349
01/18/2021,Chenango,8,1758,202,63551
01/19/2021,Chenango,37,1795,539,64090
01/20/2021,Chenango,26,1821,461,64551
01/21/2021,Chenango,29,1850,569,65120
01/22/2021,Chenango,38,1888,816,65936
01/23/2021,Chenango,38,1926,673,66609
01/24/2021,Chenango,17,1943,496,67105
01/25/2021,Chenango,16,1959,230,67335
01/26/2021,Chenango,18,1977,303,67638
01/27/2021,Chenango,24,2001,523,68161
01/28/2021,Chenango,48,2049,735,68896
01/29/2021,Chenango,29,2078,762,69658
01/30/2021,Chenango,32,2110,529,70187
01/31/2021,Chenango,9,2119,389,70576
02/01/2021,Chenango,14,2133,171,70747
02/02/2021,Chenango,13,2146,389,71136
02/03/2021,Chenango,29,2175,513,71649
02/04/2021,Chenango,20,2195,508,72157
02/05/2021,Chenango,19,2214,521,72678
02/06/2021,Chenango,23,2237,516,73194
02/07/2021,Chenango,12,2249,303,73497
02/08/2021,Chenango,7,2256,120,73617
02/09/2021,Chenango,10,2266,253,73870
02/10/2021,Chenango,19,2285,378,74248
02/11/2021,Chenango,13,2298,669,74917
02/12/2021,Chenango,9,2307,644,75561
02/13/2021,Chenango,12,2319,478,76039
02/14/2021,Chenango,8,2327,226,76265
02/15/2021,Chenango,1,2328,125,76390
02/16/2021,Chenango,1,2329,298,76688
02/17/2021,Chenango,9,2338,527,77215
02/18/2021,Chenango,6,2344,508,77723
02/19/2021,Chenango,15,2359,553,78276
02/20/2021,Chenango,17,2376,499,78775
02/21/2021,Chenango,7,2383,282,79057
02/22/2021,Chenango,2,2385,106,79163
02/23/2021,Chenango,5,2390,255,79418
02/24/2021,Chenango,7,2397,530,79948
02/25/2021,Chenango,13,2410,638,80586
02/26/2021,Chenango,17,2427,556,81142
02/27/2021,Chenango,7,2434,608,81750
02/28/2021,Chenango,5,2439,258,82008
03/01/2021,Chenango,4,2443,109,82117
03/02/2021,Chenango,9,2452,393,82510
03/03/2021,Chenango,9,2461,527,83037
03/04/2021,Chenango,13,2474,601,83638
03/05/2021,Chenango,13,2487,570,84208
03/06/2021,Chenango,15,2502,495,84703
03/07/2021,Chenango,3,2505,237,84940
03/08/2021,Chenango,5,2510,146,85086
03/09/2021,Chenango,17,2527,300,85386
03/10/2021,Chenango,4,2531,309,85695
03/11/2021,Chenango,10,2541,752,86447
03/12/2021,Chenango,13,2554,514,86961
03/13/2021,Chenango,9,2563,511,87472
03/14/2021,Chenango,7,2570,197,87669
03/15/2021,Chenango,15,2585,153,87822
03/16/2021,Chenango,13,2598,374,88196
03/17/2021,Chenango,11,2609,309,88505
03/18/2021,Chenango,16,2625,752,89257
03/19/2021,Chenango,14,2639,521,89778
03/20/2021,Chenango,12,2651,578,90356
03/21/2021,Chenango,8,2659,175,90531
03/22/2021,Chenango,12,2671,159,90690
03/23/2021,Chenango,15,2686,335,91025
03/24/2021,Chenango,14,2700,271,91296
03/25/2021,Chenango,23,2723,776,92072
03/26/2021,Chenango,27,2750,697,92769
03/27/2021,Chenango,21,2771,534,93303
03/28/2021,Chenango,13,2784,218,93521
03/29/2021,Chenango,13,2797,192,93713
03/30/2021,Chenango,21,2818,333,94046
03/31/2021,Chenango,17,2835,471,94517
04/01/2021,Chenango,17,2852,599,95116
04/02/2021,Chenango,14,2866,611,95727
04/03/2021,Chenango,13,2879,468,96195
04/04/2021,Chenango,14,2893,161,96356
04/05/2021,Chenango,7,2900,119,96475
04/06/2021,Chenango,12,2912,279,96754
04/07/2021,Chenango,22,2934,359,97113
04/08/2021,Chenango,22,2956,714,97827
04/09/2021,Chenango,17,2973,614,98441
04/10/2021,Chenango,14,2987,397,98838
04/11/2021,Chenango,20,3007,204,99042
04/12/2021,Chenango,11,3018,189,99231
04/13/2021,Chenango,13,3031,387,99618
04/14/2021,Chenango,17,3048,436,100054
04/15/2021,Chenango,10,3058,579,100633
04/16/2021,Chenango,19,3077,505,101138
04/17/2021,Chenango,14,3091,704,101842
04/18/2021,Chenango,13,3104,166,102008
04/19/2021,Chenango,21,3125,172,102180
04/20/2021,Chenango,13,3138,297,102477
04/21/2021,Chenango,18,3156,483,102960
04/22/2021,Chenango,27,3183,756,103716
04/23/2021,Chenango,19,3202,624,104340
04/24/2021,Chenango,11,3213,452,104792
04/25/2021,Chenango,6,3219,234,105026
04/26/2021,Chenango,10,3229,139,105165
04/27/2021,Chenango,9,3238,377,105542
04/28/2021,Chenango,18,3256,645,106187
04/29/2021,Chenango,12,3268,535,106722
04/30/2021,Chenango,20,3288,566,107288
05/01/2021,Chenango,10,3298,561,107849
05/02/2021,Chenango,11,3309,189,108038
05/03/2021,Chenango,13,3322,101,108139
05/04/2021,Chenango,9,3331,294,108433
05/05/2021,Chenango,11,3342,651,109084
05/06/2021,Chenango,11,3353,603,109687
05/07/2021,Chenango,3,3356,513,110200
05/08/2021,Chenango,10,3366,471,110671
05/09/2021,Chenango,3,3369,119,110790
05/10/2021,Chenango,7,3376,135,110925
05/11/2021,Chenango,12,3388,256,111181
05/12/2021,Chenango,4,3392,598,111779
05/13/2021,Chenango,5,3397,586,112365
05/14/2021,Chenango,5,3402,571,112936
05/15/2021,Chenango,7,3409,360,113296
05/16/2021,Chenango,3,3412,167,113463
05/17/2021,Chenango,8,3420,101,113564
05/18/2021,Chenango,12,3432,341,113905
05/19/2021,Chenango,5,3437,502,114407
05/20/2021,Chenango,9,3446,513,114920
05/21/2021,Chenango,5,3451,456,115376
05/22/2021,Chenango,4,3455,376,115752
05/23/2021,Chenango,0,3455,125,115877
05/24/2021,Chenango,1,3456,101,115978
05/25/2021,Chenango,2,3458,283,116261
05/26/2021,Chenango,4,3462,394,116655
05/27/2021,Chenango,0,3462,410,117065
05/28/2021,Chenango,4,3466,421,117486
05/29/2021,Chenango,2,3468,293,117779
05/30/2021,Chenango,1,3469,99,117878
05/31/2021,Chenango,2,3471,47,117925
06/01/2021,Chenango,2,3473,99,118024
06/02/2021,Chenango,2,3475,295,118319
06/03/2021,Chenango,1,3476,585,118904
06/04/2021,Chenango,2,3478,455,119359
06/05/2021,Chenango,5,3483,444,119803
06/06/2021,Chenango,5,3488,130,119933
06/07/2021,Chenango,1,3489,77,120010
06/08/2021,Chenango,3,3492,220,120230
06/09/2021,Chenango,2,3494,314,120544
06/10/2021,Chenango,1,3495,505,121049
06/11/2021,Chenango,0,3495,340,121389
06/12/2021,Chenango,3,3498,388,121777
06/13/2021,Chenango,0,3498,73,121850
06/14/2021,Chenango,1,3499,129,121979
06/15/2021,Chenango,2,3501,170,122149
06/16/2021,Chenango,2,3503,344,122493
06/17/2021,Chenango,1,3504,413,122906
06/18/2021,Chenango,0,3504,269,123175
06/19/2021,Chenango,0,3504,116,123291
06/20/2021,Chenango,0,3504,58,123349
06/21/2021,Chenango,1,3505,73,123422
06/22/2021,Chenango,2,3507,134,123556
06/23/2021,Chenango,2,3509,190,123746
06/24/2021,Chenango,1,3510,204,123950
06/25/2021,Chenango,1,3511,132,124082
06/26/2021,Chenango,0,3511,134,124216
06/27/2021,Chenango,1,3512,38,124254
06/28/2021,Chenango,1,3513,65,124319
06/29/2021,Chenango,1,3514,162,124481
06/30/2021,Chenango,2,3516,143,124624
07/01/2021,Chenango,0,3516,137,124761
07/02/2021,Chenango,0,3516,69,124830
07/03/2021,Chenango,0,3516,71,124901
07/04/2021,Chenango,0,3516,74,124975
07/05/2021,Chenango,0,3516,23,124998
07/06/2021,Chenango,0,3516,50,125048
07/07/2021,Chenango,2,3518,147,125195
07/08/2021,Chenango,0,3518,182,125377
07/09/2021,Chenango,0,3518,95,125472
07/10/2021,Chenango,1,3519,136,125608
07/11/2021,Chenango,0,3519,61,125669
07/12/2021,Chenango,0,3519,36,125705
07/13/2021,Chenango,0,3519,101,125806
07/14/2021,Chenango,0,3519,140,125946
07/15/2021,Chenango,0,3519,102,126048
07/16/2021,Chenango,0,3519,89,126137
07/17/2021,Chenango,0,3519,132,126269
07/18/2021,Chenango,1,3520,25,126294
07/19/2021,Chenango,2,3522,67,126361
07/20/2021,Chenango,2,3524,77,126438
07/21/2021,Chenango,1,3525,82,126520
07/22/2021,Chenango,1,3526,93,126613
07/23/2021,Chenango,1,3527,79,126692
07/24/2021,Chenango,4,3531,87,126779
07/25/2021,Chenango,0,3531,75,126854
07/26/2021,Chenango,5,3536,133,126987
07/27/2021,Chenango,2,3538,106,127093
07/28/2021,Chenango,8,3546,101,127194
07/29/2021,Chenango,7,3553,175,127369
07/30/2021,Chenango,9,3562,153,127522
07/31/2021,Chenango,5,3567,163,127685
08/01/2021,Chenango,3,3570,135,127820
08/02/2021,Chenango,2,3572,126,127946
08/03/2021,Chenango,6,3578,252,128198
08/04/2021,Chenango,5,3583,172,128370
08/05/2021,Chenango,7,3590,180,128550
08/06/2021,Chenango,9,3599,159,128709
08/07/2021,Chenango,8,3607,124,128833
08/08/2021,Chenango,14,3621,86,128919
08/09/2021,Chenango,9,3630,160,129079
08/10/2021,Chenango,14,3644,216,129295
08/11/2021,Chenango,4,3648,225,129520
08/12/2021,Chenango,24,3672,239,129759
08/13/2021,Chenango,12,3684,233,129992
08/14/2021,Chenango,10,3694,212,130204
08/15/2021,Chenango,11,3705,139,130343
08/16/2021,Chenango,8,3713,139,130482
08/17/2021,Chenango,13,3726,344,130826
08/18/2021,Chenango,12,3738,398,131224
08/19/2021,Chenango,13,3751,212,131436
08/20/2021,Chenango,16,3767,212,131648
08/21/2021,Chenango,10,3777,325,131973
08/22/2021,Chenango,7,3784,138,132111
08/23/2021,Chenango,10,3794,227,132338
08/24/2021,Chenango,15,3809,250,132588
08/25/2021,Chenango,14,3823,196,132784
08/26/2021,Chenango,15,3838,305,133089
08/27/2021,Chenango,11,3849,257,133346
08/28/2021,Chenango,11,3860,193,133539
08/29/2021,Chenango,12,3872,198,133737
08/30/2021,Chenango,15,3887,145,133882
08/31/2021,Chenango,17,3904,316,134198
09/01/2021,Chenango,22,3926,366,134564
09/02/2021,Chenango,12,3938,372,134936
09/03/2021,Chenango,18,3956,239,135175
09/04/2021,Chenango,12,3968,224,135399
09/05/2021,Chenango,9,3977,266,135665
09/06/2021,Chenango,8,3985,154,135819
09/07/2021,Chenango,6,3991,95,135914
09/08/2021,Chenango,11,4002,285,136199
09/09/2021,Chenango,18,4020,252,136451
09/10/2021,Chenango,11,4031,391,136842
09/11/2021,Chenango,15,4046,255,137097
09/12/2021,Chenango,11,4057,123,137220
09/13/2021,Chenango,11,4068,148,137368
09/14/2021,Chenango,12,4080,194,137562
09/15/2021,Chenango,18,4098,390,137952
09/16/2021,Chenango,14,4112,485,138437
09/17/2021,Chenango,21,4133,387,138824
09/18/2021,Chenango,15,4148,293,139117
09/19/2021,Chenango,8,4156,133,139250
09/20/2021,Chenango,12,4168,164,139414
09/21/2021,Chenango,22,4190,370,139784
09/22/2021,Chenango,22,4212,366,140150
09/23/2021,Chenango,21,4233,486,140636
09/24/2021,Chenango,12,4245,381,141017
09/25/2021,Chenango,14,4259,229,141246
09/26/2021,Chenango,8,4267,166,141412
09/27/2021,Chenango,8,4275,225,141637
09/28/2021,Chenango,9,4284,376,142013
09/29/2021,Chenango,22,4306,323,142336
09/30/2021,Chenango,20,4326,440,142776
10/01/2021,Chenango,12,4338,411,143187
10/02/2021,Chenango,21,4359,518,143705
10/03/2021,Chenango,9,4368,216,143921
10/04/2021,Chenango,9,4377,267,144188
10/05/2021,Chenango,24,4401,457,144645
10/06/2021,Chenango,18,4419,438,145083
10/07/2021,Chenango,29,4448,779,145862
10/08/2021,Chenango,27,4475,437,146299
10/09/2021,Chenango,16,4491,293,146592
10/10/2021,Chenango,9,4500,276,146868
10/11/2021,Chenango,16,4516,120,146988
10/12/2021,Chenango,27,4543,322,147310
10/13/2021,Chenango,13,4556,364,147674
10/14/2021,Chenango,38,4594,611,148285
10/15/2021,Chenango,25,4619,442,148727
10/16/2021,Chenango,16,4635,473,149200
10/17/2021,Chenango,14,4649,233,149433
10/18/2021,Chenango,8,4657,153,149586
10/19/2021,Chenango,17,4674,342,149928
10/20/2021,Chenango,15,4689,350,150278
10/21/2021,Chenango,17,4706,493,150771
10/22/2021,Chenango,9,4715,394,151165
10/23/2021,Chenango,18,4733,414,151579
10/24/2021,Chenango,13,4746,203,151782
10/25/2021,Chenango,3,4749,121,151903
10/26/2021,Chenango,13,4762,307,152210
10/27/2021,Chenango,20,4782,267,152477
10/28/2021,Chenango,23,4805,582,153059
10/29/2021,Chenango,11,4816,456,153515
10/30/2021,Chenango,16,4832,404,153919
10/31/2021,Chenango,13,4845,168,154087
11/01/2021,Chenango,11,4856,235,154322
11/02/2021,Chenango,12,4868,316,154638
11/03/2021,Chenango,11,4879,429,155067
11/04/2021,Chenango,26,4905,538,155605
11/05/2021,Chenango,19,4924,436,156041
11/06/2021,Chenango,23,4947,521,156562
11/07/2021,Chenango,12,4959,235,156797
11/08/2021,Chenango,21,4980,301,157098
11/09/2021,Chenango,32,5012,490,157588
11/10/2021,Chenango,30,5042,423,158011
11/11/2021,Chenango,33,5075,670,158681
11/12/2021,Chenango,30,5105,344,159025
11/13/2021,Chenango,22,5127,406,159431
11/14/2021,Chenango,16,5143,259,159690
11/15/2021,Chenango,28,5171,362,160052
11/16/2021,Chenango,22,5193,322,160374
11/17/2021,Chenango,33,5226,424,160798
11/18/2021,Chenango,52,5278,566,161364
11/19/2021,Chenango,43,5321,471,161835
11/20/2021,Chenango,33,5354,442,162277
11/21/2021,Chenango,13,5367,168,162445
11/22/2021,Chenango,31,5398,366,162811
11/23/2021,Chenango,28,5426,408,163219
11/24/2021,Chenango,26,5452,497,163716
11/25/2021,Chenango,27,5479,307,164023
11/26/2021,Chenango,11,5490,225,164248
11/27/2021,Chenango,18,5508,275,164523
11/28/2021,Chenango,19,5527,139,164662
11/29/2021,Chenango,20,5547,200,164862
11/30/2021,Chenango,40,5587,547,165409
12/01/2021,Chenango,41,5628,511,165920
12/02/2021,Chenango,51,5679,576,166496
12/03/2021,Chenango,48,5727,709,167205
12/04/2021,Chenango,39,5766,315,167520
12/05/2021,Chenango,21,5787,195,167715
12/06/2021,Chenango,57,5844,524,168239
12/07/2021,Chenango,36,5880,488,168727
12/08/2021,Chenango,43,5923,489,169216
12/09/2021,Chenango,30,5953,478,169694
12/10/2021,Chenango,63,6016,629,170323
12/11/2021,Chenango,32,6048,412,170735
12/12/2021,Chenango,22,6070,363,171098
12/13/2021,Chenango,25,6095,362,171460
12/14/2021,Chenango,42,6137,410,171870
12/15/2021,Chenango,53,6190,520,172390
12/16/2021,Chenango,60,6250,710,173100
12/17/2021,Chenango,47,6297,487,173587
12/18/2021,Chenango,37,6334,578,174165
12/19/2021,Chenango,28,6362,191,174356
12/20/2021,Chenango,20,6382,409,174765
12/21/2021,Chenango,31,6413,448,175213
12/22/2021,Chenango,34,6447,544,175757
12/23/2021,Chenango,46,6493,508,176265
12/24/2021,Chenango,22,6515,475,176740
12/25/2021,Chenango,18,6533,130,176870
12/26/2021,Chenango,6,6539,68,176938
12/27/2021,Chenango,20,6559,269,177207
12/28/2021,Chenango,39,6598,696,177903
12/29/2021,Chenango,39,6637,458,178361
12/30/2021,Chenango,80,6717,580,178941
12/31/2021,Chenango,68,6785,621,179562
01/01/2022,Chenango,52,6837,370,179932
01/02/2022,Chenango,31,6868,175,180107
01/03/2022,Chenango,63,6931,390,180497
01/04/2022,Chenango,77,7008,658,181155
01/05/2022,Chenango,112,7120,674,181829
01/06/2022,Chenango,84,7204,566,182395
01/07/2022,Chenango,109,7313,762,183157
01/08/2022,Chenango,95,7408,527,183684
01/09/2022,Chenango,41,7449,288,183972
01/10/2022,Chenango,28,7477,311,184283
01/11/2022,Chenango,57,7534,570,184853
01/12/2022,Chenango,91,7625,603,185456
01/13/2022,Chenango,92,7717,584,186040
01/14/2022,Chenango,81,7798,659,186699
01/15/2022,Chenango,72,7870,410,187109
01/16/2022,Chenango,35,7905,389,187498
01/17/2022,Chenango,51,7956,228,187726
01/18/2022,Chenango,38,7994,471,188197
01/19/2022,Chenango,89,8083,529,188726
01/20/2022,Chenango,73,8156,537,189263
01/21/2022,Chenango,85,8241,625,189888
01/22/2022,Chenango,44,8285,367,190255
01/23/2022,Chenango,43,8328,383,190638
01/24/2022,Chenango,34,8362,419,191057
01/25/2022,Chenango,37,8399,330,191387
01/26/2022,Chenango,57,8456,528,191915
01/27/2022,Chenango,65,8521,475,192390
01/28/2022,Chenango,35,8556,552,192942
01/29/2022,Chenango,48,8604,338,193280
01/30/2022,Chenango,22,8626,206,193486
01/31/2022,Chenango,18,8644,352,193838
02/01/2022,Chenango,41,8685,387,194225
02/02/2022,Chenango,49,8734,435,194660
02/03/2022,Chenango,23,8757,410,195070
02/04/2022,Chenango,28,8785,380,195450
02/05/2022,Chenango,16,8801,164,195614
03/01/2020,Clinton,0,0,0,0
03/02/2020,Clinton,0,0,0,0
03/03/2020,Clinton,0,0,0,0
03/04/2020,Clinton,0,0,0,0
03/05/2020,Clinton,0,0,0,0
03/06/2020,Clinton,0,0,0,0
03/07/2020,Clinton,0,0,0,0
03/08/2020,Clinton,0,0,0,0
03/09/2020,Clinton,0,0,0,0
03/10/2020,Clinton,0,0,0,0
03/11/2020,Clinton,0,0,4,4
03/12/2020,Clinton,0,0,3,7
03/13/2020,Clinton,0,0,1,8
03/14/2020,Clinton,0,0,1,9
03/15/2020,Clinton,0,0,0,9
03/16/2020,Clinton,1,1,1,10
03/17/2020,Clinton,0,1,3,13
03/18/2020,Clinton,1,2,21,34
03/19/2020,Clinton,0,2,9,43
03/20/2020,Clinton,2,4,12,55
03/21/2020,Clinton,0,4,2,57
03/22/2020,Clinton,2,6,12,69
03/23/2020,Clinton,2,8,17,86
03/24/2020,Clinton,2,10,14,100
03/25/2020,Clinton,1,11,16,116
03/26/2020,Clinton,0,11,6,122
03/27/2020,Clinton,1,12,22,144
03/28/2020,Clinton,1,13,18,162
03/29/2020,Clinton,4,17,19,181
03/30/2020,Clinton,4,21,9,190
03/31/2020,Clinton,4,25,21,211
04/01/2020,Clinton,0,25,5,216
04/02/2020,Clinton,5,30,16,232
04/03/2020,Clinton,1,31,11,243
04/04/2020,Clinton,2,33,23,266
04/05/2020,Clinton,3,36,14,280
04/06/2020,Clinton,1,37,16,296
04/07/2020,Clinton,2,39,25,321
04/08/2020,Clinton,1,40,25,346
04/09/2020,Clinton,3,43,17,363
04/10/2020,Clinton,0,43,23,386
04/11/2020,Clinton,0,43,25,411
04/12/2020,Clinton,1,44,9,420
04/13/2020,Clinton,1,45,23,443
04/14/2020,Clinton,0,45,8,451
04/15/2020,Clinton,1,46,17,468
04/16/2020,Clinton,1,47,21,489
04/17/2020,Clinton,1,48,16,505
04/18/2020,Clinton,1,49,12,517
04/19/2020,Clinton,2,51,10,527
04/20/2020,Clinton,0,51,17,544
04/21/2020,Clinton,0,51,4,548
04/22/2020,Clinton,1,52,11,559
04/23/2020,Clinton,1,53,14,573
04/24/2020,Clinton,1,54,39,612
04/25/2020,Clinton,3,57,28,640
04/26/2020,Clinton,2,59,30,670
04/27/2020,Clinton,0,59,15,685
04/28/2020,Clinton,0,59,23,708
04/29/2020,Clinton,0,59,40,748
04/30/2020,Clinton,2,61,48,796
05/01/2020,Clinton,1,62,35,831
05/02/2020,Clinton,4,66,33,864
05/03/2020,Clinton,2,68,21,885
05/04/2020,Clinton,1,69,27,912
05/05/2020,Clinton,0,69,25,937
05/06/2020,Clinton,0,69,22,959
05/07/2020,Clinton,5,74,72,1031
05/08/2020,Clinton,2,76,27,1058
05/09/2020,Clinton,0,76,33,1091
05/10/2020,Clinton,0,76,53,1144
05/11/2020,Clinton,1,77,38,1182
05/12/2020,Clinton,1,78,53,1235
05/13/2020,Clinton,3,81,123,1358
05/14/2020,Clinton,4,85,126,1484
05/15/2020,Clinton,6,91,150,1634
05/16/2020,Clinton,1,92,88,1722
05/17/2020,Clinton,2,94,155,1877
05/18/2020,Clinton,0,94,59,1936
05/19/2020,Clinton,0,94,58,1994
05/20/2020,Clinton,0,94,204,2198
05/21/2020,Clinton,0,94,131,2329
05/22/2020,Clinton,1,95,135,2464
05/23/2020,Clinton,0,95,131,2595
05/24/2020,Clinton,0,95,70,2665
05/25/2020,Clinton,0,95,108,2773
05/26/2020,Clinton,0,95,51,2824
05/27/2020,Clinton,0,95,201,3025
05/28/2020,Clinton,0,95,226,3251
05/29/2020,Clinton,0,95,441,3692
05/30/2020,Clinton,0,95,329,4021
05/31/2020,Clinton,1,96,146,4167
06/01/2020,Clinton,1,97,147,4314
06/02/2020,Clinton,0,97,309,4623
06/03/2020,Clinton,0,97,632,5255
06/04/2020,Clinton,0,97,319,5574
06/05/2020,Clinton,0,97,421,5995
06/06/2020,Clinton,0,97,305,6300
06/07/2020,Clinton,0,97,220,6520
06/08/2020,Clinton,0,97,105,6625
06/09/2020,Clinton,0,97,306,6931
06/10/2020,Clinton,1,98,268,7199
06/11/2020,Clinton,0,98,350,7549
06/12/2020,Clinton,0,98,285,7834
06/13/2020,Clinton,0,98,187,8021
06/14/2020,Clinton,0,98,137,8158
06/15/2020,Clinton,1,99,225,8383
06/16/2020,Clinton,0,99,242,8625
06/17/2020,Clinton,0,99,252,8877
06/18/2020,Clinton,0,99,251,9128
06/19/2020,Clinton,1,100,325,9453
06/20/2020,Clinton,0,100,112,9565
06/21/2020,Clinton,0,100,192,9757
06/22/2020,Clinton,0,100,167,9924
06/23/2020,Clinton,0,100,184,10108
06/24/2020,Clinton,1,101,312,10420
06/25/2020,Clinton,0,101,153,10573
06/26/2020,Clinton,0,101,264,10837
06/27/2020,Clinton,0,101,226,11063
06/28/2020,Clinton,0,101,160,11223
06/29/2020,Clinton,0,101,133,11356
06/30/2020,Clinton,0,101,287,11643
07/01/2020,Clinton,0,101,254,11897
07/02/2020,Clinton,0,101,156,12053
07/03/2020,Clinton,0,101,114,12167
07/04/2020,Clinton,2,103,183,12350
07/05/2020,Clinton,0,103,140,12490
07/06/2020,Clinton,2,105,295,12785
07/07/2020,Clinton,1,106,186,12971
07/08/2020,Clinton,1,107,339,13310
07/09/2020,Clinton,0,107,278,13588
07/10/2020,Clinton,1,108,211,13799
07/11/2020,Clinton,1,109,190,13989
07/12/2020,Clinton,0,109,178,14167
07/13/2020,Clinton,1,110,280,14447
07/14/2020,Clinton,1,111,215,14662
07/15/2020,Clinton,0,111,261,14923
07/16/2020,Clinton,0,111,236,15159
07/17/2020,Clinton,0,111,357,15516
07/18/2020,Clinton,2,113,145,15661
07/19/2020,Clinton,0,113,134,15795
07/20/2020,Clinton,1,114,339,16134
07/21/2020,Clinton,0,114,264,16398
07/22/2020,Clinton,0,114,317,16715
07/23/2020,Clinton,3,117,285,17000
07/24/2020,Clinton,2,119,334,17334
07/25/2020,Clinton,1,120,368,17702
07/26/2020,Clinton,0,120,183,17885
07/27/2020,Clinton,3,123,395,18280
07/28/2020,Clinton,0,123,129,18409
07/29/2020,Clinton,2,125,307,18716
07/30/2020,Clinton,1,126,158,18874
07/31/2020,Clinton,1,127,297,19171
08/01/2020,Clinton,0,127,381,19552
08/02/2020,Clinton,0,127,184,19736
08/03/2020,Clinton,0,127,309,20045
08/04/2020,Clinton,0,127,164,20209
08/05/2020,Clinton,0,127,116,20325
08/06/2020,Clinton,0,127,134,20459
08/07/2020,Clinton,0,127,338,20797
08/08/2020,Clinton,0,127,226,21023
08/09/2020,Clinton,1,128,252,21275
08/10/2020,Clinton,1,129,374,21649
08/11/2020,Clinton,0,129,139,21788
08/12/2020,Clinton,0,129,230,22018
08/13/2020,Clinton,1,130,151,22169
08/14/2020,Clinton,1,131,257,22426
08/15/2020,Clinton,1,132,287,22713
08/16/2020,Clinton,1,133,109,22822
08/17/2020,Clinton,1,134,363,23185
08/18/2020,Clinton,0,134,213,23398
08/19/2020,Clinton,1,135,170,23568
08/20/2020,Clinton,1,136,265,23833
08/21/2020,Clinton,5,141,335,24168
08/22/2020,Clinton,0,141,254,24422
08/23/2020,Clinton,1,142,82,24504
08/24/2020,Clinton,4,146,400,24904
08/25/2020,Clinton,1,147,157,25061
08/26/2020,Clinton,1,148,267,25328
08/27/2020,Clinton,1,149,193,25521
08/28/2020,Clinton,1,150,369,25890
08/29/2020,Clinton,0,150,197,26087
08/30/2020,Clinton,0,150,255,26342
